subgroup,subgroup_variable,subgroup_level,sample_size,outcome_rate,auroc,auprc,sensitivity,specificity,precision_ppv,npv,f1,true_negative,false_positive,false_negative,true_positive,any_predictor_missing_count,any_predictor_missing_rate,minimum_predictor_missingness_p_value,n_predictors_with_missingness_p_lt_0_05,predictors_with_missingness_p_lt_0_05
Age bands,age_band,18-39,124,1.0,,,1.0,,1.0,,1.0,0,0,0,124,123,0.9919354838709677,5.781892634580205e-172,9,"Na, K, Cl, Urea, Ceratinine, Alcoholic, Smoke, FHCD, TriageScore"
Age bands,age_band,40-64,479,0.918580375782881,0.6526515151515151,0.9497036785997025,1.0,0.02564102564102564,0.9205020920502092,1.0,0.9586056644880174,1,38,0,440,110,0.22964509394572025,5.781892634580205e-172,9,"Na, K, Cl, Urea, Ceratinine, Alcoholic, Smoke, FHCD, TriageScore"
Age bands,age_band,65-79,487,0.7782340862422998,0.883856151666178,0.96699390485719,0.8812664907651715,0.5925925925925926,0.8835978835978836,0.5871559633027523,0.8824306472919419,64,44,45,334,217,0.4455852156057495,5.781892634580205e-172,9,"Na, K, Cl, Urea, Ceratinine, Alcoholic, Smoke, FHCD, TriageScore"
Age bands,age_band,80+,70,1.0,,,0.0,,0.0,0.0,0.0,0,0,70,0,0,0.0,5.781892634580205e-172,9,"Na, K, Cl, Urea, Ceratinine, Alcoholic, Smoke, FHCD, TriageScore"
Gender,Gender,0,507,0.8047337278106509,0.9189195880372352,0.9622048940725454,0.9607843137254902,0.6060606060606061,0.9095127610208816,0.7894736842105263,0.9344457687723481,60,39,16,392,304,0.5996055226824457,1.0546577460486906e-58,9,"Na, K, Cl, Urea, Ceratinine, Alcoholic, Smoke, FHCD, TriageScore"
Gender,Gender,1,653,0.9264931087289433,0.6511535812672176,0.9636951354605345,0.8363636363636363,0.10416666666666667,0.9216757741347905,0.04807692307692308,0.8769497400346621,5,43,99,506,146,0.22358346094946402,1.0546577460486906e-58,9,"Na, K, Cl, Urea, Ceratinine, Alcoholic, Smoke, FHCD, TriageScore"
Smoking status,Smoke,0.0,512,0.818359375,0.8933584828187955,0.9767161404509752,0.8568019093078759,0.6344086021505376,0.9134860050890585,0.4957983193277311,0.8842364532019704,59,34,60,359,167,0.326171875,1.2858801615518168e-252,9,"Na, K, Cl, Urea, Ceratinine, Alcoholic, Smoke, FHCD, TriageScore"
Smoking status,Smoke,1.0,473,0.8985200845665962,0.6589460784313725,0.951528303165476,0.8705882352941177,0.10416666666666667,0.8958837772397095,0.08333333333333333,0.883054892601432,5,43,55,370,108,0.22832980972515857,1.2858801615518168e-252,9,"Na, K, Cl, Urea, Ceratinine, Alcoholic, Smoke, FHCD, TriageScore"
Smoking status,Smoke,Missing,175,0.9657142857142857,0.2761341222879684,0.9434525796743316,1.0,0.16666666666666666,0.9712643678160919,1.0,0.9854227405247813,1,5,0,169,175,1.0,1.2858801615518168e-252,9,"Na, K, Cl, Urea, Ceratinine, Alcoholic, Smoke, FHCD, TriageScore"
Alcohol status,Alcoholic,0.0,579,0.7564766839378239,0.7579180025259885,0.897857435220707,0.8401826484018264,0.45390070921985815,0.8269662921348314,0.47761194029850745,0.8335220838052095,64,77,70,368,214,0.3696027633851468,1.2858801615518168e-252,9,"Na, K, Cl, Urea, Ceratinine, Alcoholic, Smoke, FHCD, TriageScore"
