threshold,sensitivity,specificity,ppv,npv,f1,flagged,flagged_pct,true_negative,false_positive,false_negative,true_positive,recommended
0.05,1.0,0.0,0.8814814814814815,,0.937007874015748,1080,1.0,0,128,0,952,False
0.1,1.0,0.0,0.8814814814814815,,0.937007874015748,1080,1.0,0,128,0,952,False
0.15,1.0,0.0,0.8814814814814815,,0.937007874015748,1080,1.0,0,128,0,952,False
0.2,0.9989495798319328,0.0,0.881371640407785,0.0,0.9364844903988183,1079,0.9990740740740741,0,128,1,951,False
0.25,0.9978991596638656,0.0078125,0.8820798514391829,0.3333333333333333,0.9364218827008378,1077,0.9972222222222222,1,127,2,950,False
0.3,0.9947478991596639,0.0078125,0.8817504655493482,0.16666666666666666,0.9348469891411648,1074,0.9944444444444445,1,127,5,947,False
0.35,0.9915966386554622,0.1015625,0.8914069877242682,0.6190476190476191,0.938836399801094,1059,0.9805555555555555,13,115,8,944,False
0.4,0.9852941176470589,0.296875,0.9124513618677043,0.7307692307692307,0.9474747474747475,1028,0.9518518518518518,38,90,14,938,False
0.45,0.976890756302521,0.4375,0.9281437125748503,0.717948717948718,0.9518935516888434,1002,0.9277777777777778,56,72,22,930,False
0.5,0.9726890756302521,0.53125,0.9391480730223124,0.723404255319149,0.95562435500516,986,0.912962962962963,68,60,26,926,False
0.55,0.967436974789916,0.546875,0.940755873340143,0.693069306930693,0.953909891248058,979,0.9064814814814814,70,58,31,921,False
0.6,0.9569327731092437,0.5625,0.9420889348500517,0.6371681415929203,0.9494528400208442,967,0.8953703703703704,72,56,41,911,False
0.65,0.9474789915966386,0.5625,0.941544885177453,0.5901639344262295,0.9445026178010472,958,0.8870370370370371,72,56,50,902,False
0.7,0.9222689075630253,0.5625,0.9400428265524625,0.4931506849315068,0.9310710498409331,934,0.8648148148148148,72,56,74,878,True
0.75,0.8802521008403361,0.5625,0.9373601789709173,0.3870967741935484,0.9079089924160346,894,0.8277777777777777,72,56,114,838,False
0.8,0.8109243697478992,0.5625,0.9323671497584541,0.2857142857142857,0.8674157303370786,828,0.7666666666666667,72,56,180,772,False
0.85,0.6953781512605042,0.5625,0.9220055710306406,0.19889502762430938,0.792814371257485,718,0.6648148148148149,72,56,290,662,False
0.9,0.5651260504201681,0.5625,0.9057239057239057,0.14814814814814814,0.6959896507115135,594,0.55,72,56,414,538,False
0.95,0.3855042016806723,0.578125,0.8717339667458432,0.11229135053110774,0.5345957756737072,421,0.38981481481481484,74,54,585,367,False
